Date (date),RTGS Volume (rtgs_vol),RTGS Value (rtgs_val),NEFT Volume (neft_vol),NEFT Value (neft_val),AePS Volume (aeps_vol),AePS Value (aeps_val),UPI Volume (upi_vol),UPI Value (upi_val),IMPS Volume (imps_vol),IMPS Value (imps_val),NACH Credit Volume (nach_credit_vol),NACH Credit Value (nach_credit_val),NACH Debit Volume (nach_debit_vol),NACH Debit Value (nach_debit_val),NETC Volume (netc_vol),NETC Value (netc_val),BBPS Volume (bbps_vol),BBPS Value (bbps_val),CTS Volume (cts_vol),CTS Value (cts_val),Credit Card (At PoS and e-Commerce) Volume (credit_card_at_pos_and_e_commerce_vol),Credit Card (At PoS and e-Commerce) Value (credit_card_at_pos_and_e_commerce_val),Debit Card (At PoS and e-Commerce) Volume (debit_card_at_pos_and_e_commerce_vol),Debit Card (At PoS and e-Commerce) Value (debit_card_at_pos_and_e_commerce_val),Prepaid Payment Instruments (PPIs) Card (At PoS and e-Commerce) Volume (ppis_card_at_pos_and_e_commerce_vol),Prepaid Payment Instruments (PPIs) Card (At PoS and e-Commerce) Value (ppis_card_at_pos_and_e_commerce_val),NFS (through ATMs) Volume (nfs_through_atms_vol),NFS (through ATMs) Value (nfs_through_atms_val),AePS (through micro-ATMs / BCs) Volume (aeps_through_micro_atms_or_bcs_vol),AePS (through micro-ATMs / BCs) Value (aeps_through_micro_atms_or_bcs_val),Credit Card Volume (credit_card_at_pos_vol),Credit Card Value (credit_card_at_pos_val),Credit Card Volume at e-Commerce (credit_card_at_e_commerce_vol),Credit Card Value at e-Commerce (credit_card_at_e_commerce_val),Debit Card Volume (debit_card_at_pos_vol),Debit Card Value (debit_card_at_pos_val),Debit Card Volume at e-Commerce (debit_card_at_e_commerce_vol),Debit Card Value at e-Commerce (debit_card_at_e_commerce_val),Prepaid Payment Instruments (PPIs) Card Volume (ppis_card_at_pos_vol),Prepaid Payment Instruments (PPIs) Card Value (ppis_card_at_pos_val),Prepaid Payment Instruments (PPIs) Card Volume at e-Commerce (ppis_card_at_e_commerce_vol),Prepaid Payment Instruments (PPIs) Card Value at e-Commerce (ppis_card_at_e_commerce_val),Government Securities Clearing Volume (government_securities_clearing_vol),Government Securities Clearing Value (government_securities_clearing_val),Forex Clearing Volume (forex_clearing_vol),Forex Clearing Value (forex_clearing_val),Rupee Derivatives (for all deals matched during the day) Volume (rupee_derivatives_vol),Rupee Derivatives (for all deals matched during the day) Value (rupee_derivatives_val)
"2021-05-10","6.69","464772.23","148.93","97599.55","0.49","14.79","849.17","18772.21","99.05","10295.57","200.2","1213.86","111.0","1090.81","35.24","65.08","14.92","261.73","22.43","18679.23","53.03","2052.86","102.2","1846.6","5.43","288.26","84.57","3901.71","25.25","804.55","","","","","","","","","","","","","0.05","510402.53","0.06","227708.46","0.0","9410.0"
"2022-11-14","10.64","636075.22","170.4","119805.17","0.48","16.29","2461.78","41601.59","162.41","16498.3","77.8","5318.08","16.47","2284.08","89.77","141.55","38.83","714.51","37.61","33523.85","","","","","","","108.67","4496.99","36.76","959.35","60.86","1946.66","59.36","2696.58","80.21","1739.19","47.84","819.24","3.07","54.19","5.0","86.02","0.07","731430.16","0.23","457579.58","0.0","17995.0"
"2023-09-04","9.41","597897.66","224.75","120307.53","0.27","10.16","3608.71","65160.82","179.61","22200.77","148.03","3371.75","66.46","5619.65","98.99","161.53","41.75","850.39","24.8","24232.0","","","","","","","113.81","5086.08","38.23","1024.35","51.39","2082.58","56.84","4468.22","55.86","1341.61","27.21","786.5","1.03","16.24","1.53","45.83","0.07","732077.97","0.0","0.0","0.01","34845.0"
"2020-07-22","4.69","307147.78","68.65","62003.01","0.54","8.73","496.81","9735.93","71.29","7124.26","89.33","2401.29","18.36","1503.05","28.93","53.53","7.7","153.12","19.53","16023.64","","","","","","","89.81","3541.99","24.49","568.34","","","","","","","","","","","","","","","","","",""
"2024-07-04","9.0","568988.19","276.71","131631.53","0.42","15.29","4821.22","78683.27","176.28","23165.93","257.32","5715.69","52.42","6882.38","101.77","181.39","66.87","2142.37","20.09","24414.49","","","","","","","104.44","4746.73","33.2","850.25","32.24","1612.32","44.06","3782.53","30.32","787.81","14.54","559.74","1.77","17.44","1.32","64.27","0.06","752805.01","0.0","0.0","0.0","40684.19"
"2022-09-09","7.48","557309.16","176.3","101535.57","0.43","15.31","2220.49","37027.98","156.41","15324.64","92.44","4137.08","24.16","2422.89","87.97","143.5","31.45","582.39","22.13","22595.53","","","","","","","116.44","4884.75","35.0","947.58","28.71","990.46","31.45","1764.16","53.17","1075.98","28.75","548.06","2.33","47.43","3.78","83.3","0.09","737633.87","0.09","270390.32","0.0","31500.0"
"2022-01-19","7.65","425597.86","125.74","91267.08","0.77","23.96","1501.62","27400.76","141.9","13320.48","40.08","3421.83","8.2","1376.92","74.62","117.27","23.41","401.22","25.46","23429.94","","","","","","","98.64","3957.93","31.45","815.9","21.95","738.07","26.07","2093.34","50.73","988.44","34.96","598.2","1.83","38.65","8.21","83.08","0.05","617091.96","0.07","162202.02","0.01","31320.0"
"2020-07-31","5.64","461035.74","155.29","124315.98","0.74","11.21","550.61","12399.97","90.62","10248.32","102.89","10952.22","9.66","1229.34","31.79","56.67","5.37","106.61","19.04","16367.44","","","","","","","110.19","4872.92","28.0","653.65","","","","","","","","","","","","","","","","","",""
"2024-02-21","9.79","622002.15","249.45","126526.56","0.58","14.23","4138.67","60116.76","183.75","19234.64","130.73","4762.41","24.39","3410.57","106.94","186.92","41.62","1101.22","22.91","26358.62","","","","","","","96.43","3925.44","26.78","693.0","31.5","1279.4","41.24","2661.57","30.25","744.75","14.28","439.18","0.82","17.58","1.25","69.75","0.07","726712.38","0.07","219497.06","0.0","26825.16"
"2023-07-10","10.56","630456.26","242.89","134121.31","0.38","13.92","3317.95","60484.85","174.83","20074.14","215.64","7213.67","144.05","17133.06","88.3","143.96","41.98","1045.38","35.61","32625.75","","","","","","","117.48","5202.64","36.47","1025.05","51.02","1883.12","54.75","3629.17","57.7","1357.02","29.57","774.99","0.9","18.72","1.03","40.15","0.07","673880.14","0.12","250590.11","0.01","41921.0"
"2022-01-25","8.76","508261.13","124.84","121643.14","0.98","30.9","1460.12","27920.07","142.26","14202.99","47.18","14582.02","33.8","3487.08","74.0","115.44","17.85","336.87","29.88","27904.01","","","","","","","97.56","3869.86","33.22","853.1","23.62","829.37","23.21","1551.43","51.43","969.67","31.64","524.89","2.23","46.58","9.16","74.08","0.04","632224.19","0.06","166112.0","0.0","17675.0"
"2020-12-08","5.25","306046.68","117.27","78990.95","0.24","7.05","574.97","9967.03","118.53","10021.78","63.62","5501.43","27.64","2712.17","36.26","64.45","8.46","116.97","26.22","21606.11","38.68","1333.48","108.14","1589.23","4.35","128.84","111.45","4818.42","20.88","619.34","","","","","","","","","","","","","","","","","",""
"2022-03-22","8.91","552859.13","131.81","114756.19","0.77","24.96","1673.03","29566.9","149.37","14339.26","52.94","3166.56","15.99","2372.24","83.56","125.62","25.87","432.74","29.12","30063.19","","","","","","","100.87","4098.66","32.02","884.71","26.5","935.46","20.55","1227.12","54.8","1059.84","29.58","514.28","2.2","33.11","9.39","62.63","0.05","660773.05","0.1","241198.27","0.01","39485.0"
"2023-08-04","8.19","531938.74","197.76","122217.24","0.29","11.29","3447.93","57716.61","171.0","19584.82","125.88","5022.93","37.78","5138.33","94.6","165.35","37.92","782.57","21.66","23355.7","","","","","","","111.24","4834.78","37.51","1001.71","33.12","1361.23","46.02","3780.39","42.2","978.98","21.2","633.71","0.84","16.42","1.25","42.76","0.07","633557.31","0.11","258385.63","0.01","40310.0"
"2024-05-05","1.16","15105.4","146.44","20166.97","0.51","12.93","4711.69","61535.54","174.27","15195.3","5.68","285.46","207.14","22504.52","115.73","193.29","47.81","1239.12","","","","","","","","","103.06","4328.02","29.9","718.66","31.4","1327.0","35.63","2380.73","27.75","701.46","10.84","329.49","1.2","19.15","1.2","54.78","","","","","",""
"2023-11-21","9.08","532929.92","195.44","111081.95","0.73","20.67","3558.82","54802.0","152.35","17938.27","88.48","5981.08","23.6","3342.31","105.94","174.12","40.78","1007.87","18.94","19584.99","","","","","","","96.36","3915.04","37.31","967.98","31.8","1257.05","39.82","2619.0","33.58","811.56","15.53","444.64","0.86","16.96","1.14","60.0","0.06","682213.64","0.08","265084.77","0.01","23305.0"
"2024-11-02","3.62","89884.88","203.16","49785.44","0.51","20.56","5217.82","75055.57","133.47","16112.34","62.22","1031.25","112.78","7793.89","104.2","150.49","78.66","4122.81","6.1","6860.13","","","","","","","99.97","4621.26","31.59","838.85","29.25","1428.67","29.89","2046.91","25.18","750.89","8.73","312.8","2.23","16.91","1.42","87.03","","","","","",""
"2023-08-19","7.24","205423.17","144.16","74771.43","0.45","14.4","3352.03","47379.98","152.72","15362.07","47.3","3253.71","8.58","2143.13","105.93","173.17","33.84","748.81","20.64","21605.37","","","","","","","103.22","4172.68","29.52","757.96","31.86","1092.89","31.05","1524.3","35.77","843.48","13.66","354.25","0.83","15.06","1.56","33.38","0.0","9061.42","0.0","0.0","0.0","0.0"
"2023-04-20","8.98","577397.35","161.53","112698.94","0.7","25.52","3015.45","47613.07","166.8","17860.69","82.01","6864.0","40.58","5045.74","97.6","171.29","33.83","678.91","24.43","26795.59","","","","","","","106.28","4486.54","33.79","942.36","32.85","1186.55","39.85","2785.13","44.35","987.97","22.17","508.27","1.0","24.51","1.19","34.26","0.07","753844.99","0.09","243734.59","0.01","32745.0"
"2022-02-08","8.24","638522.31","173.51","108299.56","0.45","15.8","1667.98","32682.18","160.62","15334.79","140.46","4631.78","39.16","2966.83","81.73","122.58","25.6","388.58","29.93","26618.7","","","","","","","118.81","5279.82","37.1","1007.44","26.04","933.22","22.85","1650.07","59.11","1178.56","32.7","611.19","2.96","58.05","7.69","109.42","0.06","695979.96","0.15","287356.41","0.01","32170.0"
"2022-11-02","7.92","495205.26","179.43","108159.42","0.33","13.21","2500.21","47432.82","165.76","18481.43","56.16","4809.47","134.12","7550.86","93.13","153.39","32.23","513.96","23.0","23990.13","","","","","","","118.21","5355.03","35.29","1006.47","27.92","1112.98","35.01","2296.69","51.12","1058.03","30.87","681.08","2.03","56.91","3.69","107.92","0.06","726466.32","0.1","284599.83","0.0","12395.0"
"2024-08-06","9.68","711049.47","290.33","146878.75","0.39","13.57","4846.79","75775.76","170.58","22392.16","195.67","6414.65","30.13","5194.53","98.69","173.53","78.53","3428.02","21.9","24387.36","","","","","","","102.53","4617.64","29.91","750.38","31.25","1584.63","51.35","4470.74","29.37","819.53","13.91","564.7","2.39","17.47","1.28","58.64","0.11","754775.81","0.1","269172.25","0.01","45805.0"
"2020-12-16","6.48","379476.95","99.65","81099.36","0.32","7.82","700.36","12973.1","122.34","9724.48","90.75","6413.27","10.0","1707.2","43.13","72.7","8.94","137.6","30.42","25154.02","44.34","1429.39","108.52","1646.48","4.59","111.19","110.54","4517.5","20.61","577.99","","","","","","","","","","","","","","","","","",""
"2023-02-01","8.51","582286.79","293.57","151958.58","0.3","15.65","2889.81","58075.13","186.95","23409.97","193.51","11936.7","28.38","3684.52","100.51","168.55","34.59","510.22","23.25","26630.65","","","","","","","124.67","5795.36","34.1","1031.01","29.79","1160.32","35.91","2713.71","45.99","999.63","24.9","601.88","0.98","20.74","2.45","51.77","0.06","730850.16","0.12","331407.71","0.0","25565.0"
"2021-04-16","7.52","512759.27","127.84","98245.03","0.51","14.95","909.1","17173.74","116.53","10608.11","83.51","5995.27","20.67","2137.98","56.98","96.27","14.11","226.12","31.1","32364.43","35.25","1427.57","89.43","1576.9","5.79","282.41","105.03","4474.78","25.26","751.77","","","","","","","","","","","","","","","","","",""
"2021-06-15","6.67","425517.01","126.5","84239.87","0.7","17.04","968.59","19631.73","105.41","10154.54","48.9","3088.83","83.7","7188.27","51.44","82.71","19.32","361.2","25.24","21763.49","36.16","1542.43","80.54","1415.07","3.18","59.97","97.62","4143.44","34.99","950.6","","","","","","","","","","","","","0.04","494469.92","0.07","177476.83","0.0","28580.0"
"2020-06-08","5.33","343217.53","121.32","68564.97","0.62","8.21","469.99","10062.17","71.3","8143.19","97.13","3183.71","76.62","5137.65","26.14","46.35","6.14","102.27","20.45","14905.54","","","","","","","109.96","4663.92","50.4","811.19","","","","","","","","","","","","","","","","","",""
"2022-08-25","7.81","539896.07","123.36","112071.3","0.72","21.97","2106.28","34666.38","148.17","15051.46","126.17","5288.14","50.71","3136.75","85.56","141.82","27.77","590.9","24.21","24260.31","","","","","","","98.59","3822.6","34.8","865.84","28.83","1008.54","40.94","2361.37","51.18","1029.07","30.13","605.7","1.76","32.03","3.59","85.96","0.07","739982.22","0.08","246443.77","0.01","47343.0"
"2024-04-03","10.59","776476.28","287.15","139377.31","0.58","19.82","4574.56","81612.52","201.07","25701.92","111.19","4321.37","144.53","9618.54","104.42","188.02","54.21","1291.99","25.99","37015.61","","","","","","","127.31","6251.42","36.66","1045.44","29.57","1445.34","37.93","3174.71","33.02","869.35","15.54","536.61","0.81","20.12","1.14","46.33","0.06","786404.09","0.13","381483.23","0.0","17435.0"
"2023-08-24","8.47","606821.71","179.95","117338.46","0.55","16.14","3350.51","47858.74","150.59","16194.27","132.36","5364.34","38.2","2027.35","96.83","169.52","33.13","782.71","20.77","23484.17","","","","","","","96.74","3784.28","30.03","766.89","33.79","1279.57","38.12","2712.63","38.5","884.53","17.43","469.88","0.77","14.37","1.69","36.45","0.08","714839.06","0.11","270482.77","0.01","28585.0"
"2023-04-28","9.79","884073.35","321.85","209171.48","0.7","24.23","2940.58","48699.12","165.94","19757.67","65.92","9592.27","63.29","3725.38","105.3","181.16","31.0","609.51","21.68","26239.17","","","","","","","104.91","4432.46","32.03","887.4","38.17","1395.29","42.11","3296.61","48.44","1055.08","23.02","556.25","1.0","26.08","1.28","46.56","0.07","730059.71","0.21","1851239.22","0.0","39380.2"
"2023-03-26","0.81","7195.38","73.59","12786.31","0.57","18.01","2695.47","32424.0","133.02","9973.87","4.51","388.98","3.11","295.36","106.76","175.15","26.26","313.22","","","","","","","","","94.64","3460.08","27.12","706.21","32.75","1046.83","29.89","1332.95","36.66","761.52","15.79","269.44","0.92","19.21","0.83","23.43","","","","","",""
"2023-04-21","8.37","527326.99","155.94","110887.78","0.77","26.82","3024.7","46341.28","170.03","17016.11","36.6","6484.55","18.51","2676.13","102.22","171.47","30.49","583.51","21.37","25407.44","","","","","","","115.0","4760.25","35.24","963.74","36.47","1308.2","37.98","2166.46","47.29","1080.66","20.86","460.18","0.96","23.2","1.08","37.57","0.07","764714.99","0.11","275030.66","0.01","24470.0"
"2021-04-25","0.23","1983.1","14.52","3356.57","0.29","8.56","705.54","10166.47","64.24","4729.37","","","","","39.15","79.36","8.02","95.92","","","23.48","723.02","49.4","681.88","4.79","189.85","53.78","2015.41","11.36","318.51","","","","","","","","","","","","","","","","","",""
"2022-10-11","8.89","487849.98","170.33","114341.86","0.47","15.35","2434.91","43642.01","166.06","17399.6","140.45","4515.67","28.34","3250.29","85.3","140.49","35.21","678.78","33.35","30556.39","","","","","","","121.51","5279.18","38.87","1042.69","28.69","1123.6","36.94","2204.27","52.69","1111.42","30.27","668.26","2.17","43.92","3.88","87.97","0.06","744258.99","0.2","446934.07","0.0","29835.0"
"2022-02-07","7.28","243845.36","166.29","100480.57","0.44","15.47","1664.91","33670.85","161.31","15636.93","103.96","2526.03","69.55","5444.43","84.32","120.06","23.73","360.38","20.45","19963.7","","","","","","","115.85","5105.49","38.67","1012.45","39.82","1393.78","35.17","2133.79","79.82","1626.72","46.34","782.74","3.16","63.33","7.28","108.92","","","","","0.0","325.0"
"2022-05-11","7.95","454517.17","144.46","93732.2","0.5","18.63","1974.23","36863.35","162.84","16203.63","207.31","7956.73","16.64","2279.29","89.1","138.72","29.4","532.46","25.23","24712.38","","","","","","","121.48","5272.37","39.57","1125.76","26.22","904.63","28.19","1883.89","59.0","1167.44","34.7","606.04","2.68","49.26","5.43","104.0","0.07","644052.51","0.11","264802.48","0.01","41860.0"
"2022-10-15","7.01","208517.73","128.31","70873.95","0.48","16.49","2416.34","39499.74","155.21","14668.57","74.93","9633.49","86.41","7789.13","97.35","160.57","32.97","610.69","24.85","23485.31","","","","","","","117.21","4915.56","33.7","892.16","27.33","968.72","39.29","2028.0","49.66","1092.45","24.14","513.19","2.33","42.53","3.99","77.38","0.0","22144.65","0.0","0.0","0.0","0.0"
"2020-07-20","5.21","345326.92","74.32","70357.76","0.6","9.04","461.25","8829.0","72.5","7248.83","60.06","1367.7","22.59","2475.98","25.67","47.62","8.16","171.62","20.74","15175.37","","","","","","","91.46","3617.8","25.07","581.65","","","","","","","","","","","","","","","","","",""
"2023-04-30","0.97","9410.23","71.22","18487.01","0.75","23.26","2964.34","42803.02","153.93","13627.55","8.31","421.2","11.51","958.61","117.49","188.49","26.71","449.36","","","","","","","","","106.72","4366.44","24.26","653.08","32.36","1109.96","29.0","1431.21","40.27","899.22","16.46","383.86","0.99","22.61","0.74","15.92","","","","","",""
"2022-03-05","7.23","198096.22","134.13","77498.91","0.42","16.39","1840.21","35370.65","166.2","16004.65","149.93","6922.51","123.66","12840.55","93.74","139.63","22.07","377.77","27.06","25372.84","","","","","","","124.02","5518.12","36.57","1011.99","24.14","801.12","21.11","1626.1","54.42","1080.06","26.16","483.27","3.02","59.08","10.01","162.14","0.0","6680.45","0.0","0.0","0.0","0.0"
"2024-04-23","9.28","557034.35","225.11","110429.67","0.74","19.06","4232.23","59888.22","165.19","18521.15","137.02","8809.09","9.68","2727.19","110.2","182.67","45.05","1193.57","20.73","27246.1","","","","","","","91.16","3740.79","28.24","754.28","32.14","1398.8","40.1","2678.55","29.52","752.67","12.88","426.28","1.18","20.9","1.46","79.03","0.07","784273.46","0.09","334730.85","0.01","31675.72"
"2023-09-15","8.94","823922.71","188.58","126838.4","0.47","15.29","3619.42","52463.74","157.29","16814.19","122.31","3504.11","116.35","10059.78","98.88","172.29","38.84","934.95","23.17","25518.68","","","","","","","108.79","4410.3","37.96","924.77","32.35","1135.88","37.46","2192.79","37.39","849.86","17.47","468.87","0.97","14.73","1.5","48.06","0.12","742900.47","0.11","336973.61","0.0","22362.0"
"2022-07-20","7.49","477491.94","128.04","98997.91","0.59","17.47","2060.07","34113.78","146.86","14122.94","96.65","3869.67","33.01","3864.95","82.77","131.78","29.82","648.26","24.41","23447.68","","","","","","","95.22","3709.7","30.91","808.94","21.76","706.51","27.98","1709.11","47.39","899.82","27.95","546.99","1.47","26.33","3.21","80.32","0.06","654572.01","0.09","249808.43","0.01","30255.0"
"2022-02-28","12.07","927456.43","276.34","225880.45","0.84","25.92","1594.07","34896.42","166.28","19093.12","74.64","7498.81","64.58","3997.33","84.53","127.48","22.33","471.27","38.85","38240.76","","","","","","","119.1","5131.6","33.68","906.29","47.93","1546.79","41.48","2409.77","86.6","1694.79","53.4","940.42","2.42","39.54","8.79","91.43","0.05","679451.0","0.17","1025257.04","0.0","16640.0"
"2022-04-07","8.36","558280.79","199.36","112598.49","0.49","19.59","1924.91","37184.6","165.42","17187.21","65.84","3920.49","75.6","6138.84","83.69","140.05","26.31","389.07","26.88","31376.96","","","","","","","119.75","5394.92","36.59","1066.07","26.49","981.97","27.68","2190.51","60.72","1238.56","34.2","616.47","2.71","54.95","8.94","118.42","0.04","644615.71","0.09","286595.49","0.0","29115.0"
"2023-08-18","9.22","682388.5","186.25","131195.48","0.45","14.16","3372.98","48000.66","153.85","16473.96","150.19","4400.95","22.62","3132.45","99.67","167.57","38.49","914.35","24.65","24901.67","","","","","","","100.08","4026.86","31.13","800.93","33.08","1176.1","35.65","3194.47","39.49","930.69","18.06","456.93","0.8","14.12","1.41","33.22","0.07","712518.11","0.1","289583.74","0.01","41480.0"
"2022-08-15","0.61","5531.42","55.57","11239.98","0.38","11.21","1946.64","25414.14","126.16","8412.21","1.6","51.87","53.44","5364.61","90.75","127.45","24.77","363.31","","","","","","","","","88.58","3250.48","30.27","733.36","26.28","851.09","22.34","833.19","43.58","914.09","20.05","312.96","2.38","40.21","3.14","47.2","","","","","",""
"2020-07-06","5.23","393151.54","109.29","97039.58","0.6","9.55","503.34","10863.0","82.24","8622.13","65.56","2523.74","98.6","10137.16","26.99","47.8","6.17","104.29","22.06","16756.08","","","","","","","105.12","4574.37","30.28","713.78","","","","","","","","","","","","","","","","","",""
"2023-08-13","0.7","6064.39","84.37","13595.42","0.38","11.04","3427.23","38677.49","139.83","9571.73","0.68","237.85","4.85","353.68","108.73","175.94","28.84","431.95","","","","","","","","","102.69","3900.84","29.52","694.09","35.29","1166.26","30.85","1190.61","37.83","876.03","13.28","274.1","0.88","13.42","1.0","11.08","","","","","",""
"2020-06-21","","","6.06","2093.33","0.33","4.9","356.53","4938.44","45.95","3314.19","","","","","22.74","49.86","4.65","63.48","","","","","","","","","67.33","2262.91","17.24","349.43","","","","","","","","","","","","","","","","","",""
"2021-04-19","7.29","454672.05","113.25","81231.72","0.53","15.16","920.28","17808.09","108.61","10128.24","111.29","2715.85","11.25","1725.88","52.64","85.42","14.0","241.35","24.06","23059.04","64.57","2251.76","124.03","2243.45","4.98","243.29","105.72","4441.58","25.77","750.71","","","","","","","","","","","","","","","","","",""
"2022-09-16","7.73","583607.17","148.28","101726.43","0.48","15.85","2255.26","36237.8","149.85","14364.8","67.92","3099.96","18.7","1845.53","85.38","143.05","31.35","627.19","23.42","22678.72","","","","","","","105.09","4159.32","34.64","845.03","20.45","677.84","21.75","1261.05","43.45","839.41","21.45","420.3","1.38","32.32","2.3","68.78","0.07","697117.16","0.1","267805.89","0.01","42925.0"
"2024-07-20","7.57","211550.84","213.7","77193.28","0.68","19.59","4306.37","57542.05","146.29","17188.74","114.9","4476.62","38.33","6082.5","111.23","187.89","56.44","2003.83","19.7","23238.71","","","","","","","95.64","3851.47","29.27","708.01","31.43","1245.93","35.73","2540.83","29.07","724.78","10.47","390.55","1.97","20.33","1.37","73.73","0.0","21587.05","0.0","0.0","0.0","0.0"
"2023-10-22","0.89","8196.42","110.04","14764.54","0.63","19.39","3592.45","41526.45","134.76","10102.45","2.16","326.3","13.66","985.94","108.01","183.02","28.21","453.46","0.0","0.0","","","","","","","101.38","3751.9","27.13","656.78","31.9","1162.57","37.46","1718.28","32.21","780.1","10.89","316.29","0.83","14.22","0.6","16.38","","","","","",""
"2020-12-05","5.13","153715.65","107.35","67817.06","0.26","7.9","776.24","16093.79","125.96","10573.95","38.79","3522.88","94.02","10879.54","45.4","76.34","8.62","117.41","28.67","22457.83","33.75","968.01","94.93","1311.87","4.78","119.39","126.57","5662.25","22.61","680.78","","","","","","","","","","","","","","","","","",""
"2024-11-11","12.66","734504.08","355.34","160940.81","0.71","23.43","5345.5","82436.94","151.13","22395.37","121.88","7899.79","107.03","7231.74","116.58","197.17","88.59","3870.54","31.75","31226.6","","","","","","","103.8","4710.37","40.74","987.74","52.84","2507.89","63.21","4207.48","37.03","1086.58","15.91","553.58","3.09","17.94","2.33","159.11","0.07","785476.82","0.0","0.0","0.0","28256.0"
"2022-06-27","10.17","625024.52","138.07","128262.78","1.68","42.8","1908.78","33292.2","150.9","15403.64","120.48","7488.34","22.84","2423.87","87.92","135.61","26.76","568.8","35.39","33712.15","","","","","","","101.94","4035.24","35.18","932.63","48.78","1538.99","38.03","2364.34","77.45","1537.61","44.58","718.16","2.2","40.97","3.44","74.07","0.07","759150.96","0.1","293874.16","0.0","39350.0"
"2024-08-02","8.77","694111.97","279.21","140310.71","0.31","11.58","5035.24","80650.53","171.62","23140.46","138.53","7164.28","129.6","9318.99","98.57","175.94","72.9","2893.65","19.31","23997.65","","","","","","","109.65","5149.65","29.1","767.14","32.02","1613.79","40.72","3519.07","30.7","864.2","13.9","563.14","2.14","18.42","1.31","58.23","0.08","713411.83","0.1","277084.52","0.01","38025.0"
"2020-07-04","3.8","95452.81","70.06","48814.68","0.56","9.06","498.77","10114.58","76.41","7785.95","168.08","5443.94","28.53","3253.66","29.21","53.14","5.36","87.6","18.6","14858.57","","","","","","","105.09","4597.66","27.37","652.57","","","","","","","","","","","","","","","","","",""
"2023-12-21","9.29","769810.16","210.42","130291.54","0.52","15.71","3883.29","57778.84","156.74","18593.07","48.91","5559.04","21.26","3523.42","108.37","190.28","39.5","1024.79","20.86","24282.08","","","","","","","94.16","3819.36","27.85","728.01","34.78","1333.15","40.22","3061.93","34.6","840.36","14.35","421.82","0.89","16.29","1.11","59.84","0.06","680251.31","0.1","293749.99","0.01","26460.0"
"2023-11-14","5.28","120692.68","169.27","63193.98","0.67","19.95","3513.04","51371.31","135.8","13393.31","125.12","3674.67","11.47","1356.44","95.93","135.21","44.06","931.6","12.13","12475.76","","","","","","","104.3","4306.36","38.02","998.02","27.21","1056.44","27.17","1724.99","30.24","784.93","11.41","302.75","0.87","15.83","1.11","55.39","","","","","",""
"2024-06-11","10.41","630029.03","253.94","129300.28","0.63","18.56","4697.98","73866.64","197.3","22226.15","80.55","4361.25","25.21","4343.8","107.45","188.17","59.83","1800.38","25.85","28809.18","","","","","","","114.89","5270.92","33.27","851.87","32.44","1455.49","43.51","3186.44","32.0","799.37","12.77","464.14","1.56","18.21","1.29","61.69","0.06","773424.62","0.12","254739.1","0.0","22505.0"
"2024-11-12","10.53","690825.8","297.26","130807.87","0.75","24.19","5260.88","77463.41","144.07","20603.45","154.78","7308.24","38.03","4815.87","114.43","199.87","83.47","3284.05","24.04","27778.14","","","","","","","101.28","4513.28","38.23","939.72","30.48","1503.34","41.05","2893.79","25.42","729.54","10.86","402.87","4.72","16.35","2.42","172.38","0.05","731778.5","0.14","460713.04","0.01","26065.0"
"2021-06-13","0.28","2324.1","17.09","3960.16","0.37","9.39","851.65","12899.97","79.31","5269.94","","","","","50.54","85.16","11.97","163.77","","","31.73","1005.91","60.34","867.55","2.89","29.57","76.02","2911.34","19.28","500.62","","","","","","","","","","","","","","","","","",""
"2022-06-11","1.54","14013.21","62.79","17529.33","1.4","39.59","2037.13","33508.5","149.32","12755.81","100.94","1646.56","7.29","826.84","101.11","151.44","28.15","478.31","","","","","","","","","121.76","5194.39","41.06","1118.68","28.66","876.18","22.48","1129.57","54.06","1088.44","22.87","387.63","3.15","56.73","3.77","88.19","","","","","",""
"2024-07-24","9.15","624947.73","243.14","115304.84","0.68","19.42","4472.88","61048.58","149.35","18431.64","29.65","4297.98","10.3","2820.07","97.82","173.39","55.93","2184.63","18.79","22959.51","","","","","","","82.92","3307.53","26.25","646.47","30.99","1400.28","42.59","3005.78","27.42","743.25","12.17","463.88","1.96","17.87","1.1","49.89","0.11","850461.72","0.1","271800.98","0.01","31355.0"
"2022-02-05","5.5","176917.32","127.42","65151.71","0.4","14.47","1655.22","31339.7","152.01","13673.29","132.94","4285.58","111.0","12293.11","90.62","130.39","22.25","340.17","22.4","20422.84","","","","","","","118.69","5216.64","35.1","905.3","19.35","665.12","15.87","997.87","47.49","986.03","23.34","399.17","3.04","65.6","7.87","141.8","0.0","6915.2","0.0","0.0","0.0","0.0"
"2022-12-15","8.46","695184.67","165.3","128763.59","0.37","14.03","2561.41","42710.62","158.59","16602.58","82.81","7771.03","98.19","8592.06","95.28","158.3","37.37","713.46","25.31","25665.76","","","","","","","108.92","4517.05","33.59","876.55","28.99","995.44","40.41","2499.09","46.31","987.8","26.53","561.81","0.85","20.51","3.51","61.81","0.07","682637.12","0.12","314390.8","0.0","38450.0"
"2022-10-25","5.95","548817.67","124.32","102457.83","0.77","20.73","1988.31","29351.82","129.53","11547.99","59.7","5120.16","32.73","3286.74","64.1","91.49","26.32","419.01","27.61","27175.81","","","","","","","86.3","3227.44","29.64","763.6","63.29","2357.9","54.94","2771.19","86.43","2146.32","45.8","814.46","1.89","30.4","2.63","53.66","0.06","781496.59","0.12","329749.07","0.0","18805.0"
