Date (date),RTGS Volume (rtgs_vol),RTGS Value (rtgs_val),NEFT Volume (neft_vol),NEFT Value (neft_val),AePS Volume (aeps_vol),AePS Value (aeps_val),UPI Volume (upi_vol),UPI Value (upi_val),IMPS Volume (imps_vol),IMPS Value (imps_val),NACH Credit Volume (nach_credit_vol),NACH Credit Value (nach_credit_val),NACH Debit Volume (nach_debit_vol),NACH Debit Value (nach_debit_val),NETC Volume (netc_vol),NETC Value (netc_val),BBPS Volume (bbps_vol),BBPS Value (bbps_val),CTS Volume (cts_vol),CTS Value (cts_val),Credit Card (At PoS and e-Commerce) Volume (credit_card_at_pos_and_e_commerce_vol),Credit Card (At PoS and e-Commerce) Value (credit_card_at_pos_and_e_commerce_val),Debit Card (At PoS and e-Commerce) Volume (debit_card_at_pos_and_e_commerce_vol),Debit Card (At PoS and e-Commerce) Value (debit_card_at_pos_and_e_commerce_val),Prepaid Payment Instruments (PPIs) Card (At PoS and e-Commerce) Volume (ppis_card_at_pos_and_e_commerce_vol),Prepaid Payment Instruments (PPIs) Card (At PoS and e-Commerce) Value (ppis_card_at_pos_and_e_commerce_val),NFS (through ATMs) Volume (nfs_through_atms_vol),NFS (through ATMs) Value (nfs_through_atms_val),AePS (through micro-ATMs / BCs) Volume (aeps_through_micro_atms_or_bcs_vol),AePS (through micro-ATMs / BCs) Value (aeps_through_micro_atms_or_bcs_val),Credit Card Volume (credit_card_at_pos_vol),Credit Card Value (credit_card_at_pos_val),Credit Card Volume at e-Commerce (credit_card_at_e_commerce_vol),Credit Card Value at e-Commerce (credit_card_at_e_commerce_val),Debit Card Volume (debit_card_at_pos_vol),Debit Card Value (debit_card_at_pos_val),Debit Card Volume at e-Commerce (debit_card_at_e_commerce_vol),Debit Card Value at e-Commerce (debit_card_at_e_commerce_val),Prepaid Payment Instruments (PPIs) Card Volume (ppis_card_at_pos_vol),Prepaid Payment Instruments (PPIs) Card Value (ppis_card_at_pos_val),Prepaid Payment Instruments (PPIs) Card Volume at e-Commerce (ppis_card_at_e_commerce_vol),Prepaid Payment Instruments (PPIs) Card Value at e-Commerce (ppis_card_at_e_commerce_val),Government Securities Clearing Volume (government_securities_clearing_vol),Government Securities Clearing Value (government_securities_clearing_val),Forex Clearing Volume (forex_clearing_vol),Forex Clearing Value (forex_clearing_val),Rupee Derivatives (for all deals matched during the day) Volume (rupee_derivatives_vol),Rupee Derivatives (for all deals matched during the day) Value (rupee_derivatives_val)
"2024-08-02","8.77","694111.97","279.21","140310.71","0.31","11.58","5035.24","80650.53","171.62","23140.46","138.53","7164.28","129.6","9318.99","98.57","175.94","72.9","2893.65","19.31","23997.65","","","","","","","109.65","5149.65","29.1","767.14","32.02","1613.79","40.72","3519.07","30.7","864.2","13.9","563.14","2.14","18.42","1.31","58.23","0.08","713411.83","0.1","277084.52","0.01","38025.0"
"2022-07-29","8.32","765215.0","207.26","166964.32","0.8","22.67","2039.83","35222.25","149.97","16579.15","153.49","7897.79","7.64","1483.76","85.8","140.5","25.1","492.85","20.51","20931.09","","","","","","","99.39","3963.5","31.76","858.48","31.25","1028.1","33.85","2464.84","56.3","1103.31","32.59","627.43","2.06","35.71","4.26","94.59","0.07","707056.79","0.17","1300958.5","0.01","32855.0"
"2023-05-15","10.93","671902.42","173.19","134145.36","0.61","21.39","3091.12","51693.49","166.32","18889.91","169.54","5225.41","105.57","9520.11","112.05","176.26","41.86","906.76","35.23","34172.33","","","","","","","112.02","4810.22","37.09","1050.9","53.44","1863.19","54.87","2919.95","61.49","1439.16","31.3","665.15","1.09","26.79","1.08","37.08","0.09","738283.78","0.11","232990.55","0.0","28612.5"
"2020-09-02","4.41","305051.67","109.32","91611.05","0.59","9.35","638.42","13151.17","99.58","9936.08","83.4","1834.9","66.98","3686.48","35.38","62.74","6.88","118.65","22.54","19719.09","","","","","","","114.51","5138.92","26.69","693.91","","","","","","","","","","","","","","","","","",""
"2022-09-23","8.14","662687.99","141.32","115622.8","0.75","22.78","2240.82","35202.31","144.21","14672.65","96.61","4936.89","16.02","1643.17","86.3","145.83","26.8","529.61","21.32","21106.82","","","","","","","95.93","3639.22","31.11","851.6","37.38","1244.01","67.16","5431.73","56.32","1105.04","44.1","1328.25","2.46","36.38","4.96","96.07","0.07","774878.07","0.1","305336.8","0.01","37775.0"
"2023-05-26","8.99","627009.0","153.93","117493.82","0.65","20.75","3002.19","44385.37","149.82","16594.54","77.59","4848.42","26.07","2002.24","110.32","181.86","30.18","624.97","20.42","25240.08","","","","","","","100.03","4117.99","28.4","780.37","34.8","1271.0","36.38","2071.74","42.14","944.45","20.1","462.28","1.02","29.51","0.96","37.89","0.06","686123.19","0.1","251048.09","0.07","567849.61"
"2020-09-09","5.2","331850.08","108.28","73881.37","0.59","9.5","571.75","11563.73","99.12","9378.05","80.86","2428.34","19.69","1837.21","36.22","63.46","7.67","124.58","24.71","18850.38","","","","","","","113.04","4763.84","27.8","672.15","","","","","","","","","","","","","","","","","",""
"2021-03-23","8.94","539481.27","128.21","117018.98","0.55","17.43","873.33","16338.27","117.79","10811.55","48.29","6004.7","14.48","1547.09","61.85","100.44","12.39","190.35","34.08","31495.89","41.95","1742.22","93.6","1669.5","5.17","209.81","107.15","4351.53","25.59","759.48","","","","","","","","","","","","","","","","","",""
"2021-11-28","0.43","3293.41","27.62","5635.52","0.67","17.83","1296.28","17817.14","115.36","7251.47","4.68","284.16","36.51","1244.36","78.43","118.75","14.33","175.64","","","","","","","","","92.97","3335.5","20.2","506.77","23.02","664.18","11.81","429.6","48.24","912.92","22.38","289.17","1.57","27.63","7.3","50.45","","","","","",""
"2020-11-24","6.36","406333.01","80.94","80953.01","0.37","8.75","663.52","11841.29","109.16","9228.09","38.85","3200.92","10.91","1811.99","42.51","71.92","8.87","144.8","25.83","22013.96","42.94","1348.18","104.11","1623.76","4.04","105.06","102.57","4129.73","21.37","586.8","","","","","","","","","","","","","","","","","",""
"2020-11-05","6.08","340653.44","132.57","99001.46","0.33","7.96","726.68","13736.53","122.55","11031.72","71.82","3905.31","94.9","10834.2","41.32","73.94","8.2","130.33","29.66","24422.52","58.19","2049.66","142.55","2289.5","4.67","110.62","118.39","5233.8","24.1","672.49","","","","","","","","","","","","","","","","","",""
